"","apply(table, MARGIN = 1, FUN = mean)"
"intercept",-0.236375575300736
"sales.channelOnline",0.745760971557966
"sales.channelPhone",0.882427585421947
"creditlow",1.45737375206007
"creditmedium",0.727828846207406
"areaCO",-0.256723045200052
"areaDC",0.964573589745595
"areaIA",-0.128062778332487
"areaPA",-0.635374556933618
"areaWA",-0.0397140394943107
"tenure",0.741124142810684
"claim.ind",0.298402297158454
"n.children",0.934538550059594
"ni.marital.status",-0.29919225937328
"len.at.res",-0.666624429514669
"ni.age",-1.53988021044735
