"","MeanDecreaseGini"
"sales.channelOnline",27.5083598590045
"sales.channelPhone",67.1883972582369
"coverage.typeB",46.8020403702333
"coverage.typeC",57.8124977693091
"dwelling.typeHouse",54.8948181654821
"dwelling.typeTenant",44.3556365671906
"creditlow",120.30790873291
"creditmedium",45.9700085206923
"house.colorred",47.188061225356
"house.colorwhite",55.129131758967
"house.coloryellow",30.9785761999587
"areaCO",38.8379736709119
"areaDC",34.4618140035624
"areaIA",46.5915839992047
"areaPA",34.8708188779334
"areaWA",32.303335982922
"tenure",267.027068076687
"claim.ind",47.8080429522976
"n.adults",143.51348919769
"n.children",195.269512921035
"ni.marital.status",50.5828358206647
"len.at.res",268.559619031404
"ni.age",302.56137537032
